country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,2128290000.0,4058870000.0,3349440000.0,2942390000.0,3081950000.0,2849350000.0,3523890000.0,3221510000.0,3314550000.0,3768120000.0,4210060000.0,5721960000.0,5024160000.0,4919490000.0,5280020000.0,4593850000.0,3558780000.0,3512260000.0,4884600000.0,5466100000.0,5373060000,5431210000.0,2791200000.0,3803010000.0,5210240000.0,7582760000.0,0.0
Algeria,646628000.0,250045000.0,498927000.0,182591000.0,225622000.0,134908000.0,293076000.0,198873000.0,353552000.0,166309000.0,193058000.0,134908000.0,75013500.0,215155000.0,203525000.0,53963200.0,68965900.0,56987000.0,265164000.0,251208000.0,554751000,217481000.0,225622000.0,282609000.0,305869000.0,174450000.0,0.0
Angola,701289000.0,701289000.0,701289000.0,701289000.0,710593000.0,724549000.0,772232000.0,839686000.0,889695000.0,895510000.0,900162000.0,924585000.0,874576000.0,1059493000.0,894347000.0,911792000.0,1017625000.0,1143229000.0,1244410000.0,1756130000.0,2221330000,2663270000.0,2500450000.0,3140100000.0,3093580000.0,3535520000.0,0.0
Argentina,20701400000.0,21050300000.0,21864400000.0,15002700000.0,13025600000.0,17910200000.0,16282000000.0,19422100000.0,23841500000.0,27330500000.0,26865300000.0,22911100000.0,28028300000.0,26400100000.0,21399200000.0,28726100000.0,36983400000.0,35820400000.0,33843300000.0,30470600000.0,33959600000,37913800000.0,30354300000.0,30470600000.0,33843300000.0,33610700000.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,1558420000.0,1546790000.0,3047060000.0,4291470000.0,3512260000.0,1918950000.0,1570050000.0,1395600000.0,1535160000.0,1197890000.0,1256040000.0,967616000.0,1663090000.0,1977100000.0,2000360000.0,1779390000,1825910000.0,1849170000.0,1802650000.0,2023620000.0,2558600000.0,0.0
Australia,13723400000.0,14537500000.0,13607100000.0,14304900000.0,14421200000.0,14188600000.0,15816800000.0,15351600000.0,16514600000.0,16398300000.0,15933100000.0,15467900000.0,16514600000.0,15351600000.0,16165700000.0,16398300000.0,16514600000.0,15933100000.0,16282000000.0,16049400000.0,15235300000,15700500000.0,14304900000.0,11862600000.0,10990350000.0,12444100000.0,14770100000.0
Austria,30935800000.0,31168400000.0,36053000000.0,35820400000.0,35238900000.0,31517300000.0,31401000000.0,34890000000.0,36750800000.0,35704100000.0,37099700000.0,34192200000.0,36053000000.0,37216000000.0,40705000000.0,41868000000.0,40472400000.0,40239800000.0,33261800000.0,36750800000.0,36634500000,35820400000.0,37099700000.0,38379000000.0,40937600000.0,38379000000.0,33727000000.0
Azerbaijan,0.0,0.0,0.0,0.0,0.0,700126000.0,1756130000.0,1744500000.0,2395780000.0,1825910000.0,1558420000.0,1535160000.0,1709610000.0,1953840000.0,1511900000.0,1535160000.0,1302560000.0,2023620000.0,2465560000.0,2756310000.0,3012170000,2523710000.0,2360890000.0,2232960000.0,2314370000.0,3442480000.0,0.0
Bangladesh,738505000.0,450081000.0,517535000.0,674540000.0,919933000.0,883880000.0,838523000.0,795492000.0,608249000.0,846664000.0,372160000.0,738505000.0,718734000.0,865272000.0,832708000.0,945519000.0,993202000.0,1066471000.0,1125784000.0,1221150000.0,1290930000,1383970000.0,1395600000.0,1477010000.0,1546790000.0,1663090000.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,20003600.0,18026500.0,16979800.0,18956900.0,18956900.0,20003600.0,16049400.0,21050300.0,28028300.0,18956900.0,26981600.0,30005400.0,28958700.0,28028300.0,33029200.0,36053000,35006300.0,35006300.0,38960500.0,43961400.0,45008100.0,0.0
Belgium,287261000.0,343085000.0,429147000.0,359367000.0,304706000.0,266327000.0,229111000.0,340759000.0,253534000.0,346574000.0,338433000.0,239578000.0,304706000.0,389605000.0,340759000.0,460548000.0,440777000.0,360530000.0,246556000.0,317499000.0,288424000,359367000.0,389605000.0,410539000.0,327966000.0,311684000.0,198873000.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000360.0,2000360.0,2000360.0,2000360.0,2000360.0,2000360.0,2000360.0,1000180.0,1000180,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,1142066000.0,1114154000.0,1060656000.0,1163000000.0,1163000000.0,1186260000.0,1302560000.0,1267670000.0,1500270000.0,1314190000.0,1267670000.0,1430490000.0,1570050000.0,1558420000.0,1791020000.0,1942210000.0,2128290000.0,2198070000.0,1988730000.0,2151550000.0,1965470000,2163180000.0,2314370000.0,2314370000.0,2291110000.0,2186440000.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,3058690000.0,5140460000.0,3407590000.0,2372520000.0,3454110000.0,3640190000.0,5152090000.0,4652000000.0,4558960000.0,5535880000.0,5093940000.0,5186980000.0,5268390000.0,4500810000.0,5977820000.0,6001080000,5861520000.0,4000720000.0,4872970000.0,6245310000.0,8024700000.0,0.0
Brazil,177939000000.0,182591000000.0,186080000000.0,198873000000.0,204688000000.0,207014000000.0,217481000000.0,223296000000.0,234926000000.0,243067000000.0,253534000000.0,266327000000.0,279120000000.0,291913000000.0,293076000000.0,304706000000.0,267490000000.0,286098000000.0,305869000000.0,320988000000.0,337270000000,348900000000.0,374486000000.0,369834000000.0,390768000000.0,403561000000.0,0.0
Bulgaria,2232960000.0,2326000000.0,2535340000.0,2593490000.0,2686530000.0,1884060000.0,2442300000.0,2058510000.0,1942210000.0,1465380000.0,2314370000.0,2919130000.0,2756310000.0,3093580000.0,2756310000.0,2674900000.0,1732870000.0,2198070000.0,3023800000.0,3163360000.0,4337990000,4233320000.0,2872610000.0,2826090000.0,3465740000.0,5059050000.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28958700.0,41053900.0,26981600.0,43961400,48031900.0,46985200.0,43031000.0,36983400.0,26051200.0,0.0
Cameroon,2384150000.0,2430670000.0,2453930000.0,2570230000.0,2663270000.0,2651640000.0,2674900000.0,2698160000.0,2802830000.0,2686530000.0,2756310000.0,2872610000.0,3093580000.0,3116840000.0,3337810000.0,3442480000.0,3477370000.0,3186620000.0,3523890000.0,3919310000.0,3768120000,3896050000.0,3849530000.0,4233320000.0,4012350000.0,4256580000.0,0.0
Canada,303543000000.0,310521000000.0,316336000000.0,307032000000.0,291913000000.0,296565000000.0,308195000000.0,316336000000.0,323314000000.0,330292000000.0,336107000000.0,355878000000.0,351226000000.0,331455000000.0,345411000000.0,358204000000.0,333781000000.0,350063000000.0,337270000000.0,340759000000.0,364019000000,352389000000.0,367508000000.0,374486000000.0,368671000000.0,351226000000.0,376812000000.0
Chile,11071760000.0,11862600000.0,12793000000.0,12560400000.0,10548410000.0,8931840000.0,13141900000.0,16747200000.0,17910200000.0,16979800000.0,18375400000.0,16863500000.0,18956900000.0,15933100000.0,13607100000.0,18491700000.0,21050300000.0,22213300000.0,21631800000.0,21980700000.0,26516400000,29191300000.0,23143700000.0,24190400000.0,25353400000.0,21748100000.0,21050300000.0
China,92342200000.0,94551900000.0,100018000000.0,109205700000.0,118626000000.0,126767000000.0,125604000000.0,132582000000.0,152353000000.0,167472000000.0,190732000000.0,188406000000.0,196547000000.0,208177000000.0,203525000000.0,222133000000.0,277957000000.0,288424000000.0,283772000000.0,353552000000.0,396583000000,436125000000.0,484971000000.0,584989000000.0,615227000000.0,722223000000.0,0.0
