,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,183000.0,349000.0,288000.0,253000.0,265000.0,245000.0,303000.0,277000.0,285000.0,324000.0,362000.0,492000.0,432000.0,423000.0,454000.0,395000.0,306000.0,302000.0,420000.0,470000.0,462000,467000.0,240000.0,327000.0,448000.0,652000.0,0.0
1,55600.0,21500.0,42900.0,15700.0,19400.0,11600.0,25200.0,17100.0,30400.0,14300.0,16600.0,11600.0,6450.0,18500.0,17500.0,4640.0,5930.0,4900.0,22800.0,21600.0,47700,18700.0,19400.0,24300.0,26300.0,15000.0,0.0
2,60300.0,60300.0,60300.0,60300.0,61100.0,62300.0,66400.0,72200.0,76500.0,77000.0,77400.0,79500.0,75200.0,91100.0,76900.0,78400.0,87500.0,98300.0,107000.0,151000.0,191000,229000.0,215000.0,270000.0,266000.0,304000.0,0.0
3,1780000.0,1810000.0,1880000.0,1290000.0,1120000.0,1540000.0,1400000.0,1670000.0,2050000.0,2350000.0,2310000.0,1970000.0,2410000.0,2270000.0,1840000.0,2470000.0,3180000.0,3080000.0,2910000.0,2620000.0,2920000,3260000.0,2610000.0,2620000.0,2910000.0,2890000.0,0.0
4,0.0,0.0,0.0,0.0,0.0,134000.0,133000.0,262000.0,369000.0,302000.0,165000.0,135000.0,120000.0,132000.0,103000.0,108000.0,83200.0,143000.0,170000.0,172000.0,153000,157000.0,159000.0,155000.0,174000.0,220000.0,0.0
5,1180000.0,1250000.0,1170000.0,1230000.0,1240000.0,1220000.0,1360000.0,1320000.0,1420000.0,1410000.0,1370000.0,1330000.0,1420000.0,1320000.0,1390000.0,1410000.0,1420000.0,1370000.0,1400000.0,1380000.0,1310000,1350000.0,1230000.0,1020000.0,945000.0,1070000.0,1270000.0
6,2660000.0,2680000.0,3100000.0,3080000.0,3030000.0,2710000.0,2700000.0,3000000.0,3160000.0,3070000.0,3190000.0,2940000.0,3100000.0,3200000.0,3500000.0,3600000.0,3480000.0,3460000.0,2860000.0,3160000.0,3150000,3080000.0,3190000.0,3300000.0,3520000.0,3300000.0,2900000.0
7,0.0,0.0,0.0,0.0,0.0,60200.0,151000.0,150000.0,206000.0,157000.0,134000.0,132000.0,147000.0,168000.0,130000.0,132000.0,112000.0,174000.0,212000.0,237000.0,259000,217000.0,203000.0,192000.0,199000.0,296000.0,0.0
8,63500.0,38700.0,44500.0,58000.0,79100.0,76000.0,72100.0,68400.0,52300.0,72800.0,32000.0,63500.0,61800.0,74400.0,71600.0,81300.0,85400.0,91700.0,96800.0,105000.0,111000,119000.0,120000.0,127000.0,133000.0,143000.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1720.0,1550.0,1460.0,1630.0,1630.0,1720.0,1380.0,1810.0,2410.0,1630.0,2320.0,2580.0,2490.0,2410.0,2840.0,3100,3010.0,3010.0,3350.0,3780.0,3870.0,0.0
10,24700.0,29500.0,36900.0,30900.0,26200.0,22900.0,19700.0,29300.0,21800.0,29800.0,29100.0,20600.0,26200.0,33500.0,29300.0,39600.0,37900.0,31000.0,21200.0,27300.0,24800,30900.0,33500.0,35300.0,28200.0,26800.0,17100.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,86.0,86,0.0,0.0,0.0,0.0,0.0,0.0
12,98200.0,95800.0,91200.0,100000.0,100000.0,102000.0,112000.0,109000.0,129000.0,113000.0,109000.0,123000.0,135000.0,134000.0,154000.0,167000.0,183000.0,189000.0,171000.0,185000.0,169000,186000.0,199000.0,199000.0,197000.0,188000.0,0.0
13,0.0,0.0,0.0,0.0,0.0,263000.0,442000.0,293000.0,204000.0,297000.0,313000.0,443000.0,400000.0,392000.0,476000.0,438000.0,446000.0,453000.0,387000.0,514000.0,516000,504000.0,344000.0,419000.0,537000.0,690000.0,0.0
14,15300000.0,15700000.0,16000000.0,17100000.0,17600000.0,17800000.0,18700000.0,19200000.0,20200000.0,20900000.0,21800000.0,22900000.0,24000000.0,25100000.0,25200000.0,26200000.0,23000000.0,24600000.0,26300000.0,27600000.0,29000000,30000000.0,32200000.0,31800000.0,33600000.0,34700000.0,0.0
15,192000.0,200000.0,218000.0,223000.0,231000.0,162000.0,210000.0,177000.0,167000.0,126000.0,199000.0,251000.0,237000.0,266000.0,237000.0,230000.0,149000.0,189000.0,260000.0,272000.0,373000,364000.0,247000.0,243000.0,298000.0,435000.0,0.0
